"NAME_2","Score"
"Alfonso","37.8224"
"Amadeo","32.9745"
"Bacoor","42.4248"
"Carmona","43.8327"
"Cavite City","33.0578"
"Dasmariñas","46.9285"
"General Emilio Aguinaldo","37.0502"
"General Mariano Alvarez","34.1405"
"General Trias","39.3679"
"Imus","41.6118"
"Indang","34.0372"
"Kawit","30.7288"
"Magallanes","30.8401"
"Maragondon","34.3802"
"Mendez","33.3033"
"Naic","32.45"
"Noveleta","34.2922"
"Rosario","38.6974"
"Silang","40.0615"
"Tagaytay","35.0134"
"Tanza","39.9544"
"Ternate","30.8191"
"Trece Martires","33.9622"
